Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
quick_sort,15,33000,1,607984.00,340764.00
dual_pivot_quick_sort,15,33000,1,612990.00,228701.00
hybrid_sort,15,33000,1,621510.00,311046.00
quick_sort,15,34000,1,641408.00,343650.00
dual_pivot_quick_sort,15,34000,1,603950.00,251470.00
hybrid_sort,15,34000,1,620040.00,308934.00
quick_sort,15,35000,1,674021.00,350843.00
dual_pivot_quick_sort,15,35000,1,606147.00,241360.00
hybrid_sort,15,35000,1,605865.00,329840.00
quick_sort,15,36000,1,626249.00,336967.00
dual_pivot_quick_sort,15,36000,1,668120.00,255704.00
hybrid_sort,15,36000,1,674769.00,394886.00
quick_sort,15,37000,1,672858.00,407249.00
dual_pivot_quick_sort,15,37000,1,635360.00,248029.00
hybrid_sort,15,37000,1,656657.00,337556.00
quick_sort,15,38000,1,725677.00,385646.00
dual_pivot_quick_sort,15,38000,1,656983.00,274927.00
hybrid_sort,15,38000,1,669187.00,347667.00
quick_sort,15,39000,1,680330.00,343737.00
dual_pivot_quick_sort,15,39000,1,690957.00,273707.00
hybrid_sort,15,39000,1,719829.00,365813.00
quick_sort,15,40000,1,732834.00,354332.00
dual_pivot_quick_sort,15,40000,1,731403.00,312081.00
hybrid_sort,15,40000,1,756922.00,366519.00
quick_sort,15,41000,1,743724.00,401221.00
dual_pivot_quick_sort,15,41000,1,739665.00,288637.00
hybrid_sort,15,41000,1,781625.00,439938.00
quick_sort,15,42000,1,812674.00,416478.00
dual_pivot_quick_sort,15,42000,1,770501.00,293474.00
hybrid_sort,15,42000,1,785630.00,445947.00
quick_sort,15,43000,1,840711.00,419404.00
dual_pivot_quick_sort,15,43000,1,810315.00,304182.00
hybrid_sort,15,43000,1,785610.00,401783.00
quick_sort,15,44000,1,794715.00,424077.00
dual_pivot_quick_sort,15,44000,1,818525.00,294078.00
hybrid_sort,15,44000,1,811657.00,448301.00
quick_sort,15,45000,1,855594.00,480609.00
dual_pivot_quick_sort,15,45000,1,824826.00,334763.00
hybrid_sort,15,45000,1,848106.00,451025.00
quick_sort,15,46000,1,891911.00,449199.00
dual_pivot_quick_sort,15,46000,1,827582.00,331848.00
hybrid_sort,15,46000,1,831283.00,401222.00
quick_sort,15,47000,1,870200.00,449775.00
dual_pivot_quick_sort,15,47000,1,877229.00,333982.00
hybrid_sort,15,47000,1,860775.00,426972.00
quick_sort,15,48000,1,891848.00,465946.00
dual_pivot_quick_sort,15,48000,1,904661.00,347047.00
hybrid_sort,15,48000,1,889373.00,468829.00
quick_sort,15,49000,1,902055.00,463926.00
dual_pivot_quick_sort,15,49000,1,945208.00,357097.00
hybrid_sort,15,49000,1,908182.00,469430.00
quick_sort,15,50000,1,1024061.00,535132.00
dual_pivot_quick_sort,15,50000,1,971086.00,361325.00
hybrid_sort,15,50000,1,1002581.00,583426.00
quick_sort,15,1000,10,10965.90,6072.30
