Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps,Type
hybrid_sort,15,37000,1,684481464.00,684518445.00,sorted
quick_sort,15,37000,1,684481500.00,342268499.00,reverse
dual_pivot_quick_sort,15,37000,1,684481500.00,18500.00,reverse
hybrid_sort,15,37000,1,684481500.00,342268515.00,reverse
quick_sort,15,38000,1,677750.00,373004.00,random
dual_pivot_quick_sort,15,38000,1,685387.00,248330.00,random
hybrid_sort,15,38000,1,687775.00,327602.00,random
quick_sort,15,38000,1,721981000.00,722018999.00,sorted
dual_pivot_quick_sort,15,38000,1,721981000.00,0,sorted
hybrid_sort,15,38000,1,721980964.00,722018945.00,sorted
quick_sort,15,38000,1,721981000.00,361018999.00,reverse
dual_pivot_quick_sort,15,38000,1,721981000.00,19000.00,reverse
hybrid_sort,15,38000,1,721981000.00,361019015.00,reverse
quick_sort,15,39000,1,765150.00,444654.00,random
dual_pivot_quick_sort,15,39000,1,689833.00,291275.00,random
hybrid_sort,15,39000,1,724363.00,387638.00,random
quick_sort,15,39000,1,760480500.00,760519499.00,sorted
dual_pivot_quick_sort,15,39000,1,760480500.00,0,sorted
hybrid_sort,15,39000,1,760480464.00,760519445.00,sorted
quick_sort,15,39000,1,760480500.00,380269499.00,reverse
dual_pivot_quick_sort,15,39000,1,760480500.00,19500.00,reverse
hybrid_sort,15,39000,1,760480500.00,380269515.00,reverse
quick_sort,15,40000,1,729817.00,398939.00,random
dual_pivot_quick_sort,15,40000,1,754130.00,290464.00,random
hybrid_sort,15,40000,1,716007.00,380104.00,random
quick_sort,15,40000,1,799980000.00,800019999.00,sorted
dual_pivot_quick_sort,15,40000,1,799980000.00,0,sorted
hybrid_sort,15,40000,1,799979964.00,800019945.00,sorted
quick_sort,15,40000,1,799980000.00,400019999.00,reverse
dual_pivot_quick_sort,15,40000,1,799980000.00,20000.00,reverse
hybrid_sort,15,40000,1,799980000.00,400020015.00,reverse
quick_sort,15,41000,1,745292.00,420768.00,random
dual_pivot_quick_sort,15,41000,1,757917.00,279032.00,random
hybrid_sort,15,41000,1,750545.00,401183.00,random
quick_sort,15,41000,1,840479500.00,840520499.00,sorted
dual_pivot_quick_sort,15,41000,1,840479500.00,0,sorted
hybrid_sort,15,41000,1,840479464.00,840520445.00,sorted
quick_sort,15,41000,1,840479500.00,420270499.00,reverse
dual_pivot_quick_sort,15,41000,1,840479500.00,20500.00,reverse
hybrid_sort,15,41000,1,840479500.00,420270515.00,reverse
quick_sort,15,42000,1,768642.00,415846.00,random
dual_pivot_quick_sort,15,42000,1,753990.00,298967.00,random
hybrid_sort,15,42000,1,808493.00,396839.00,random
quick_sort,15,42000,1,881979000.00,882020999.00,sorted
dual_pivot_quick_sort,15,42000,1,881979000.00,0,sorted
hybrid_sort,15,42000,1,881978964.00,882020945.00,sorted
quick_sort,15,42000,1,881979000.00,441020999.00,reverse
