Algorithm,Threshold,n,k,AvgComparisons,AvgSwaps
quick_sort,15,48000,1,900447.00,498572.00
dual_pivot_quick_sort,15,48000,1,806218.00,361553.00
hybrid_sort,15,48000,1,875505.00,470522.00
quick_sort,15,49000,1,868898.00,440324.00
dual_pivot_quick_sort,15,49000,1,885797.00,399108.00
hybrid_sort,15,49000,1,912961.00,467577.00
quick_sort,15,50000,1,1067575.00,521214.00
dual_pivot_quick_sort,15,50000,1,849176.00,367748.00
hybrid_sort,15,50000,1,939599.00,492619.00
quick_sort,15,1000,10,11128.80,5965.00
dual_pivot_quick_sort,15,1000,10,10164.70,4319.50
hybrid_sort,15,1000,10,11284.90,5900.00
quick_sort,15,2000,10,25018.40,13196.80
dual_pivot_quick_sort,15,2000,10,23058.50,9441.50
hybrid_sort,15,2000,10,25207.50,13431.20
quick_sort,15,3000,10,40508.50,22150.40
dual_pivot_quick_sort,15,3000,10,36957.30,15152.00
hybrid_sort,15,3000,10,40493.80,20440.60
quick_sort,15,4000,10,55609.70,30194.60
dual_pivot_quick_sort,15,4000,10,50945.00,20783.50
hybrid_sort,15,4000,10,55327.90,29685.30
quick_sort,15,5000,10,72249.10,38368.00
dual_pivot_quick_sort,15,5000,10,65738.50,27161.90
hybrid_sort,15,5000,10,70287.50,37210.20
quick_sort,15,6000,10,87266.20,47676.10
dual_pivot_quick_sort,15,6000,10,80673.00,33716.10
hybrid_sort,15,6000,10,86252.00,45515.80
quick_sort,15,7000,10,103362.40,55128.90
dual_pivot_quick_sort,15,7000,10,95101.40,42004.50
hybrid_sort,15,7000,10,105119.10,56002.90
quick_sort,15,8000,10,120347.00,62667.60
dual_pivot_quick_sort,15,8000,10,110424.10,47473.10
hybrid_sort,15,8000,10,120562.80,63530.00
quick_sort,15,9000,10,139081.40,75806.70
dual_pivot_quick_sort,15,9000,10,126363.10,55464.90
hybrid_sort,15,9000,10,142181.70,76237.00
quick_sort,15,10000,10,155076.80,84443.20
dual_pivot_quick_sort,15,10000,10,143126.20,59696.90
hybrid_sort,15,10000,10,156129.10,83720.50
quick_sort,15,11000,10,170521.30,90384.90
dual_pivot_quick_sort,15,11000,10,158249.70,67491.10
hybrid_sort,15,11000,10,173850.00,93946.30
quick_sort,15,12000,10,194272.80,109555.60
dual_pivot_quick_sort,15,12000,10,173745.70,73509.50
hybrid_sort,15,12000,10,192805.20,102364.60
quick_sort,15,13000,10,209236.10,109698.00
dual_pivot_quick_sort,15,13000,10,191779.40,79229.60
hybrid_sort,15,13000,10,214728.60,112334.10
quick_sort,15,14000,10,224923.20,121368.10
dual_pivot_quick_sort,15,14000,10,205918.90,86743.70
hybrid_sort,15,14000,10,230696.70,120182.80
quick_sort,15,15000,10,244120.70,126874.00
dual_pivot_quick_sort,15,15000,10,223463.00,97197.60
hybrid_sort,15,15000,10,252803.20,135207.50
quick_sort,15,16000,10,262448.10,139132.40
dual_pivot_quick_sort,15,16000,10,239632.60,103697.20
hybrid_sort,15,16000,10,265399.40,137285.90
quick_sort,15,17000,10,281486.10,149718.90
dual_pivot_quick_sort,15,17000,10,255522.60,112028.90
hybrid_sort,15,17000,10,281496.00,149147.10
quick_sort,15,18000,10,301063.20,164558.30
dual_pivot_quick_sort,15,18000,10,273716.70,119401.90
hybrid_sort,15,18000,10,308791.30,164985.10
quick_sort,15,19000,10,314127.10,162770.90
dual_pivot_quick_sort,15,19000,10,288464.50,127466.60
hybrid_sort,15,19000,10,319962.70,170137.20
quick_sort,15,20000,10,342570.00,182420.80
dual_pivot_quick_sort,15,20000,10,311620.40,135986.10
hybrid_sort,15,20000,10,344198.90,179389.80
quick_sort,15,21000,10,353787.70,186946.90
dual_pivot_quick_sort,15,21000,10,320351.30,137080.60
hybrid_sort,15,21000,10,358202.50,190046.50
quick_sort,15,22000,10,374489.70,197030.70
dual_pivot_quick_sort,15,22000,10,348426.90,140944.20
hybrid_sort,15,22000,10,381638.00,196993.00
quick_sort,15,23000,10,395100.80,208852.90
dual_pivot_quick_sort,15,23000,10,359308.50,157044.60
hybrid_sort,15,23000,10,402679.10,208203.70
quick_sort,15,24000,10,422435.70,222076.60
dual_pivot_quick_sort,15,24000,10,379340.00,164377.70
hybrid_sort,15,24000,10,414094.90,217824.90
quick_sort,15,25000,10,432753.30,227173.00
dual_pivot_quick_sort,15,25000,10,397450.80,168998.40
hybrid_sort,15,25000,10,432412.60,230250.20
quick_sort,15,26000,10,450807.10,239050.50
dual_pivot_quick_sort,15,26000,10,419589.20,179651.70
hybrid_sort,15,26000,10,471357.00,249564.40
quick_sort,15,27000,10,471193.00,253594.10
dual_pivot_quick_sort,15,27000,10,433858.10,188867.50
hybrid_sort,15,27000,10,474092.40,251628.80
quick_sort,15,28000,10,494038.90,253699.90
dual_pivot_quick_sort,15,28000,10,445293.70,191256.00
hybrid_sort,15,28000,10,494291.00,258824.80
quick_sort,15,29000,10,523535.00,277217.20
dual_pivot_quick_sort,15,29000,10,468770.80,203538.80
hybrid_sort,15,29000,10,520393.80,286752.00
quick_sort,15,30000,10,540462.40,288774.40
dual_pivot_quick_sort,15,30000,10,484217.50,208887.20
hybrid_sort,15,30000,10,543370.20,280945.80
quick_sort,15,31000,10,550897.30,291966.50
dual_pivot_quick_sort,15,31000,10,510263.40,218141.20
hybrid_sort,15,31000,10,548209.00,283243.00
quick_sort,15,32000,10,569889.10,309011.50
dual_pivot_quick_sort,15,32000,10,524295.50,225224.10
hybrid_sort,15,32000,10,591979.50,300703.00
quick_sort,15,33000,10,594538.00,324548.10
dual_pivot_quick_sort,15,33000,10,533631.30,234162.20
hybrid_sort,15,33000,10,594940.60,314081.60
quick_sort,15,34000,10,612850.30,328459.80
dual_pivot_quick_sort,15,34000,10,558888.60,246010.80
hybrid_sort,15,34000,10,619003.00,326815.10
quick_sort,15,35000,10,627021.60,337248.90
dual_pivot_quick_sort,15,35000,10,565862.00,243704.70
hybrid_sort,15,35000,10,637577.40,341329.80
quick_sort,15,36000,10,646775.80,343247.90
dual_pivot_quick_sort,15,36000,10,599263.80,253609.20
hybrid_sort,15,36000,10,666568.40,354100.70
quick_sort,15,37000,10,678813.00,349164.10
dual_pivot_quick_sort,15,37000,10,614434.70,268510.10
hybrid_sort,15,37000,10,673172.90,353076.20
quick_sort,15,38000,10,694038.90,368029.40
dual_pivot_quick_sort,15,38000,10,633151.40,270716.10
hybrid_sort,15,38000,10,710496.70,372270.60
quick_sort,15,39000,10,706672.10,380163.30
dual_pivot_quick_sort,15,39000,10,649364.90,280387.40
hybrid_sort,15,39000,10,721849.90,384474.10
quick_sort,15,40000,10,735542.50,392246.50
dual_pivot_quick_sort,15,40000,10,665889.70,286703.30
hybrid_sort,15,40000,10,729697.20,390840.30
quick_sort,15,41000,10,765721.40,415501.80
dual_pivot_quick_sort,15,41000,10,688081.50,289983.40
