n,scenario,comparisons,time_microsec
84000,beginning,31,0.313
84000,middle,31,0.093
84000,end,33,0.087
84000,absent,34,0.109
84000,random,29,0.11
85000,beginning,31,0.943
85000,middle,31,0.148
85000,end,33,0.156
85000,absent,34,0.399
85000,random,33,0.152
86000,beginning,31,0.091
86000,middle,31,0.09
86000,end,33,0.092
86000,absent,34,0.108
86000,random,31,0.351
87000,beginning,31,0.164
87000,middle,31,0.093
87000,end,33,0.088
87000,absent,34,0.112
87000,random,31,0.092
88000,beginning,31,0.093
88000,middle,31,0.093
88000,end,33,0.647
88000,absent,34,0.109
88000,random,29,0.077
89000,beginning,31,0.093
89000,middle,31,0.22
89000,end,33,0.14
89000,absent,34,0.129
89000,random,31,0.087
90000,beginning,31,0.131
90000,middle,31,0.108
90000,end,33,0.205
90000,absent,34,0.112
90000,random,25,0.068
91000,beginning,31,0.091
91000,middle,31,0.101
91000,end,33,0.092
91000,absent,34,0.117
91000,random,31,0.226
92000,beginning,31,0.082
92000,middle,31,0.09
92000,end,33,0.086
92000,absent,34,0.167
92000,random,31,0.091
93000,beginning,31,0.133
93000,middle,31,0.117
93000,end,33,0.113
93000,absent,34,0.123
93000,random,29,0.076
94000,beginning,31,0.101
94000,middle,31,0.092
94000,end,33,0.092
94000,absent,34,2.05
94000,random,25,0.1
95000,beginning,31,0.139
95000,middle,31,0.138
95000,end,33,0.144
95000,absent,34,0.339
95000,random,31,0.12
96000,beginning,31,0.133
96000,middle,31,0.133
96000,end,33,0.139
96000,absent,34,1.112
96000,random,31,0.138
97000,beginning,31,0.13
97000,middle,31,0.094
97000,end,33,0.093
97000,absent,34,0.306
97000,random,29,0.097
98000,beginning,31,0.338
98000,middle,31,0.091
98000,end,33,0.12
98000,absent,34,0.133
98000,random,29,0.109
99000,beginning,31,0.297
99000,middle,31,0.115
99000,end,33,0.089
99000,absent,34,0.112
99000,random,27,0.072
100000,beginning,31,0.092
100000,middle,31,0.271
100000,end,33,0.09
100000,absent,34,0.11
100000,random,31,0.248
